croissance,reduction,gain,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
-2.0,0.0,0.0,1.0,0.9756601446449955,0.9510524703924967,0.9085330442324971,0.8701089314424997,0.8250249358225021,0.7847052745399986,0.7360305102724961,0.6972306383825015,0.6659802894699987,0.636018250677502,0.6057290097574974,0.5690681593374981,0.5349354652625002,0.4975553754800016,0.4537997236750004,0.4059498484799985,0.36306534837000065,0.3233958138724984,0.2860540446225004,0.24915947596249996,0.21332013536249964,0.17374578201750002,0.1429427910474993,0.11448448270999981,0.08776315358750005
-2.0,0.0,0.5,1.0,0.9756601446449955,0.9510524703924967,0.9085330442324971,0.8701089314424997,0.8250249358225021,0.7847052745399986,0.7360305102724961,0.6972306383825015,0.6659802894699987,0.636018250677502,0.6057290097574974,0.5690681593374981,0.5349354652625002,0.4975553754800016,0.4537997236750004,0.4059498484799985,0.36306534837000065,0.3233958138724984,0.2860540446225004,0.24915947596249996,0.21332013536249964,0.17374578201750002,0.1429427910474993,0.11448448270999981,0.08776315358750005
-2.0,0.0,1.0,1.0,0.9756601446449955,0.9510524703924967,0.9085330442324971,0.8701089314424997,0.8250249358225021,0.7849200085999987,0.7361719089949961,0.6974324092275016,0.6661651596199986,0.636186431242502,0.6059853098124974,0.5692663243199981,0.5350591167075003,0.4975007461800016,0.45375420381250037,0.40591338863999854,0.36303976810000066,0.32325778728499843,0.2858879370375004,0.24903036288249997,0.21320784932499962,0.17365186402000002,0.14286389852249928,0.1144197516524998,0.08771171420250007
-2.0,0.0,1.5,1.0,0.9753208134074963,0.9502965857599964,0.9073906509474965,0.8684247133424995,0.8228736424425024,0.7823276456574991,0.7333430587199976,0.6940921846275008,0.6627284976774984,0.632823543477501,0.6021162640674987,0.5663796366949986,0.5321499314700004,0.4944854819325013,0.4506920071775005,0.40279267620499887,0.3603240498600004,0.320575749869999,0.28288989855500046,0.24561162035250014,0.20912746951999914,0.16894510076499963,0.1382778399225,0.11037181916499968,0.08379559105749995
-2.0,0.0,2.0,1.0,0.9759045398899966,0.951439569174997,0.908877676377497,0.8699504635574997,0.8245798877275025,0.7846638031899994,0.7356620824649984,0.6955765734025009,0.6625493413399988,0.6318681662700011,0.6011538145624992,0.5659972918824984,0.5308978435575006,0.49342671316750136,0.44959140644750023,0.401695340179999,0.3586139338300004,0.31825197463499894,0.2811901281625005,0.24329668245750022,0.20685135001499905,0.16639986964499973,0.1352316469275001,0.10725661316499989,0.08092178970999996
-2.0,0.0,2.5,1.0,0.9758191419974966,0.951301831617497,0.908716079014997,0.8697848878049999,0.8243065361950024,0.7834588230149993,0.7344012093699983,0.6945662062850011,0.6613832988049988,0.6318351174900011,0.5999337297749993,0.5643311753474984,0.5289119825875006,0.4925234901450014,0.4487490444425002,0.40097089740249897,0.35799686848500045,0.3176247092649989,0.28069251057250044,0.24303886853250017,0.20670139254999903,0.1663455627049997,0.13547441005500008,0.10753387692249988,0.08140870764999994
-2.0,0.0,3.0,1.0,0.9756162551674967,0.9508053372874976,0.9074555338149993,0.8680126240849997,0.8212800689275018,0.7797893401399982,0.7300142424124987,0.6890170329200029,0.6549124215624975,0.6251996098675012,0.5931060322799999,0.5575622116799984,0.5215131259075003,0.4856315527600012,0.442472612965,0.3952087853699988,0.35221159613750025,0.31224606943999883,0.27478507549500014,0.23741391625000013,0.2013710108799991,0.16138019642000023,0.13044586143499992,0.10291043604000025,0.07710503149000002
-2.0,0.0,3.5,1.0,0.975495479342497,0.9505989480449977,0.9071488691724994,0.8677836076799997,0.8210595168900017,0.7794501156099982,0.7297567767574986,0.688842880332503,0.6548555828549975,0.6241876415650014,0.5930307289425,0.5573869523949986,0.5211104248650006,0.4851585570175012,0.4416580091325002,0.3943198233024988,0.3513945010650005,0.3115272576499988,0.2737144181625001,0.2362153517450004,0.19984223909249899,0.15996108818250027,0.12962579205499977,0.10243614232250026,0.0765959560800001
-2.0,0.0,4.0,1.0,0.9754447426149971,0.9504644577999977,0.9069092368724995,0.8674911143474996,0.8205157932525013,0.7789574690349983,0.7294610551374981,0.6882932036175032,0.6541180325749975,0.6235246860625017,0.5923228581449999,0.5565832987249987,0.5203049871800005,0.48447056360250135,0.44097730414250025,0.39370931051999863,0.35068770784000053,0.3104748892149986,0.2727151068650001,0.2349328773075004,0.19845627586999914,0.1580510357500002,0.1275882719324998,0.10088176405250023,0.07519405855500007
-2.0,0.0,4.5,1.0,0.975155193732497,0.9498469098374969,0.9059585543924991,0.8666385513874999,0.8193286377725013,0.7780738969674986,0.7289472694874977,0.6882370194475036,0.6544232685774978,0.6227930792350014,0.5914095674949992,0.5557377110624985,0.5189028435825003,0.48371987921250137,0.44020149860500046,0.3926804970324983,0.3496617666674998,0.3093148960774989,0.27145220767000067,0.2336269926125005,0.1965268858724995,0.15642717151999957,0.1257238621775002,0.0988637766174998,0.07162295269749985
